date,description,amount,category,clean_description,month,day_of_week,year_month,category_encoded
2023-03-25,EYE CLINIC #5151,1130.83,Health,eye clinic,3,5,2023-03,3
2023-03-26,DECATHLON SPORTS #8942,3798.58,Shopping,decathlon sports,3,6,2023-03,4
2023-03-26,EYE CLINIC #1447,931.77,Health,eye clinic,3,6,2023-03,3
2023-03-26,LIFESTYLE STORE #3425,1231.07,Shopping,lifestyle store,3,6,2023-03,4
2023-03-26,MAINTENANCE FEE #5742,1482.89,Bills & Utilities,maintenance fee,3,6,2023-03,0
2023-03-27,WATER BILL #8412,2526.9,Bills & Utilities,water bill,3,0,2023-03,0
2023-03-28,PETROL PUMP #7563,763.31,Transport,petrol pump,3,1,2023-03,5
2023-03-28,IKEA PURCHASE #2388,1247.78,Shopping,ikea purchase,3,1,2023-03,4
2023-03-28,ELECTRICITY BILL #5781,2127.67,Bills & Utilities,electricity bill,3,1,2023-03,0
2023-03-28,NYKAA COSMETICS #7421,1205.82,Shopping,nykaa cosmetics,3,1,2023-03,4
2023-03-28,WATER BILL #6626,4913.69,Bills & Utilities,water bill,3,1,2023-03,0
2023-03-29,INDIGO AIRLINES #2099,209.71,Transport,indigo airlines,3,2,2023-03,5
2023-03-29,SWIGGY DELIVERY #8362,969.41,Food & Dining,swiggy delivery,3,2,2023-03,2
2023-03-29,WATER BILL #5840,2138.28,Bills & Utilities,water bill,3,2,2023-03,0
2023-03-29,PARKING FEE #7825,399.01,Transport,parking fee,3,2,2023-03,5
2023-03-30,PHARMACY BILL #2735,1212.44,Health,pharmacy bill,3,3,2023-03,3
2023-03-30,HOSPITAL BILL #1518,887.34,Health,hospital bill,3,3,2023-03,3
2023-03-30,INSURANCE PREMIUM #3126,3098.55,Bills & Utilities,insurance premium,3,3,2023-03,0
2023-03-30,LIFESTYLE STORE #4909,651.67,Shopping,lifestyle store,3,3,2023-03,4
2023-03-30,GAS CYLINDER #4394,1484.04,Bills & Utilities,gas cylinder,3,3,2023-03,0
2023-03-30,PRACTO APPOINTMENT #3286,2522.98,Health,practo appointment,3,3,2023-03,3
2023-03-31,EYE CLINIC #5889,1060.22,Health,eye clinic,3,4,2023-03,3
2023-03-31,AMAZON PRIME #6000,989.52,Entertainment,amazon prime,3,4,2023-03,1
2023-03-31,RAPIDO BIKE #2679,1363.1,Transport,rapido bike,3,4,2023-03,5
2023-03-31,YOGA CLASS #4441,1794.55,Health,yoga class,3,4,2023-03,3
2023-03-31,DOMINOS PIZZA #4378,996.33,Food & Dining,dominos pizza,3,4,2023-03,2
2023-03-31,PETROL PUMP #1953,245.33,Transport,petrol pump,3,4,2023-03,5
2023-03-31,MOBILE RECHARGE #6711,4324.78,Bills & Utilities,mobile recharge,3,4,2023-03,0
2023-04-01,DECATHLON SPORTS #9469,810.23,Shopping,decathlon sports,4,5,2023-04,4
2023-04-01,SPOTIFY PREMIUM #9021,1199.08,Entertainment,spotify premium,4,5,2023-04,1
2023-04-01,NETFLIX SUBSCRIPTION #3949,1103.8,Entertainment,netflix subscription,4,5,2023-04,1
2023-04-02,MEESHO ORDER #1044,299.45,Shopping,meesho order,4,6,2023-04,4
2023-04-02,LIFESTYLE STORE #6298,5540.96,Shopping,lifestyle store,4,6,2023-04,4
2023-04-02,FLIPKART PURCHASE #5767,883.91,Shopping,flipkart purchase,4,6,2023-04,4
2023-04-02,NYKAA COSMETICS #7828,4918.84,Shopping,nykaa cosmetics,4,6,2023-04,4
2023-04-02,NYKAA COSMETICS #1969,7281.91,Shopping,nykaa cosmetics,4,6,2023-04,4
2023-04-02,DECATHLON SPORTS #9841,1971.6,Shopping,decathlon sports,4,6,2023-04,4
2023-04-02,WATER BILL #1104,135.4,Bills & Utilities,water bill,4,6,2023-04,0
2023-04-03,NYKAA COSMETICS #4916,5251.59,Shopping,nykaa cosmetics,4,0,2023-04,4
2023-04-03,NYKAA COSMETICS #7563,630.52,Shopping,nykaa cosmetics,4,0,2023-04,4
2023-04-03,EMI PAYMENT #4308,4424.49,Bills & Utilities,emi payment,4,0,2023-04,0
2023-04-03,EYE CLINIC #9605,830.24,Health,eye clinic,4,0,2023-04,3
2023-04-03,MCDONALD'S #9095,266.26,Food & Dining,mcdonalds,4,0,2023-04,2
2023-04-04,PRACTO APPOINTMENT #6188,1146.03,Health,practo appointment,4,1,2023-04,3
2023-04-04,FLIPKART PURCHASE #5075,1430.05,Shopping,flipkart purchase,4,1,2023-04,4
2023-04-04,MEESHO ORDER #3266,4174.31,Shopping,meesho order,4,1,2023-04,4
2023-04-04,KFC ORDER #6199,603.92,Food & Dining,kfc order,4,1,2023-04,2
2023-04-05,IRCTC TICKET #9897,1087.96,Transport,irctc ticket,4,2,2023-04,5
2023-04-05,GAMING PURCHASE #4700,974.03,Entertainment,gaming purchase,4,2,2023-04,1
2023-04-06,ELECTRICITY BILL #3332,3587.1,Bills & Utilities,electricity bill,4,3,2023-04,0
2023-04-06,DOCTOR CONSULTATION #9962,2831.32,Health,doctor consultation,4,3,2023-04,3
2023-04-07,OLA RIDE #4263,937.84,Transport,ola ride,4,4,2023-04,5
2023-04-07,WATER BILL #5033,3864.44,Bills & Utilities,water bill,4,4,2023-04,0
2023-04-07,OLA RIDE #8856,569.24,Transport,ola ride,4,4,2023-04,5
2023-04-08,INSURANCE PREMIUM #6372,525.02,Bills & Utilities,insurance premium,4,5,2023-04,0
2023-04-08,DTH RECHARGE #8430,2053.78,Bills & Utilities,dth recharge,4,5,2023-04,0
2023-04-08,DENTAL CLINIC #3809,830.63,Health,dental clinic,4,5,2023-04,3
2023-04-08,GYM MEMBERSHIP #8032,2000.91,Health,gym membership,4,5,2023-04,3
2023-04-08,RENT PAYMENT #4005,3522.76,Bills & Utilities,rent payment,4,5,2023-04,0
2023-04-09,SWIGGY DELIVERY #5942,1018.0,Food & Dining,swiggy delivery,4,6,2023-04,2
2023-04-09,YOGA CLASS #3151,1141.23,Health,yoga class,4,6,2023-04,3
2023-04-10,BUS PASS #6092,153.8,Transport,bus pass,4,0,2023-04,5
2023-04-10,INDIGO AIRLINES #7669,405.11,Transport,indigo airlines,4,0,2023-04,5
2023-04-10,GROCERY STORE #8366,409.48,Food & Dining,grocery store,4,0,2023-04,2
2023-04-10,FLIPKART PURCHASE #4537,7692.58,Shopping,flipkart purchase,4,0,2023-04,4
2023-04-10,DOMINOS PIZZA #1818,1361.76,Food & Dining,dominos pizza,4,0,2023-04,2
2023-04-10,AJIO ORDER #2009,1378.82,Shopping,ajio order,4,0,2023-04,4
2023-04-10,AUTO RICKSHAW #8912,716.15,Transport,auto rickshaw,4,0,2023-04,5
2023-04-11,EMI PAYMENT #7394,1679.86,Bills & Utilities,emi payment,4,1,2023-04,0
2023-04-11,MYNTRA FASHION #4698,2334.44,Shopping,myntra fashion,4,1,2023-04,4
2023-04-12,MYNTRA FASHION #9800,233.77,Shopping,myntra fashion,4,2,2023-04,4
2023-04-12,DISNEY PLUS #9365,392.99,Entertainment,disney plus,4,2,2023-04,1
2023-04-12,OLA RIDE #1958,617.11,Transport,ola ride,4,2,2023-04,5
2023-04-12,IRCTC TICKET #9331,1953.93,Transport,irctc ticket,4,2,2023-04,5
2023-04-12,AJIO ORDER #1986,4955.12,Shopping,ajio order,4,2,2023-04,4
2023-04-13,WATER BILL #7790,833.25,Bills & Utilities,water bill,4,3,2023-04,0
2023-04-13,MOBILE RECHARGE #5327,2374.96,Bills & Utilities,mobile recharge,4,3,2023-04,0
2023-04-13,UBER TRIP #8110,1957.33,Transport,uber trip,4,3,2023-04,5
2023-04-14,METRO CARD RECHARGE #8734,581.91,Transport,metro card recharge,4,4,2023-04,5
2023-04-14,LAB TEST #8113,555.6,Health,lab test,4,4,2023-04,3
2023-04-14,NETFLIX SUBSCRIPTION #4943,387.72,Entertainment,netflix subscription,4,4,2023-04,1
2023-04-14,UBER TRIP #5846,1693.52,Transport,uber trip,4,4,2023-04,5
2023-04-15,WATER BILL #2734,3930.1,Bills & Utilities,water bill,4,5,2023-04,0
2023-04-15,DISNEY PLUS #5093,231.71,Entertainment,disney plus,4,5,2023-04,1
2023-04-15,MOBILE RECHARGE #9185,4917.2,Bills & Utilities,mobile recharge,4,5,2023-04,0
2023-04-15,PHARMACY BILL #6934,2205.28,Health,pharmacy bill,4,5,2023-04,3
2023-04-16,PRACTO APPOINTMENT #4250,1474.29,Health,practo appointment,4,6,2023-04,3
2023-04-16,ELECTRICITY BILL #9566,3240.96,Bills & Utilities,electricity bill,4,6,2023-04,0
2023-04-16,MEDICINE ORDER #7081,1708.17,Health,medicine order,4,6,2023-04,3
2023-04-17,FLIPKART PURCHASE #6649,2080.78,Shopping,flipkart purchase,4,0,2023-04,4
2023-04-18,AMAZON ORDER #6221,2236.8,Shopping,amazon order,4,1,2023-04,4
2023-04-18,LIFESTYLE STORE #6460,2704.25,Shopping,lifestyle store,4,1,2023-04,4
2023-04-18,APPLE MUSIC #3247,685.77,Entertainment,apple music,4,1,2023-04,1
2023-04-18,PRACTO APPOINTMENT #9514,2238.79,Health,practo appointment,4,1,2023-04,3
2023-04-19,DOCTOR CONSULTATION #6860,2791.34,Health,doctor consultation,4,2,2023-04,3
2023-04-19,AUTO RICKSHAW #8065,460.22,Transport,auto rickshaw,4,2,2023-04,5
2023-04-19,APPLE MUSIC #2928,495.07,Entertainment,apple music,4,2,2023-04,1
2023-04-20,BIGBASKET ORDER #3521,1066.93,Food & Dining,bigbasket order,4,3,2023-04,2
2023-04-20,GYM MEMBERSHIP #6175,1285.65,Health,gym membership,4,3,2023-04,3
2023-04-20,GYM MEMBERSHIP #5896,2118.06,Health,gym membership,4,3,2023-04,3
2023-04-20,ZOMATO ORDER #5888,873.54,Food & Dining,zomato order,4,3,2023-04,2
2023-04-20,DOCTOR CONSULTATION #3200,866.95,Health,doctor consultation,4,3,2023-04,3
2023-04-21,APPLE MUSIC #5631,517.16,Entertainment,apple music,4,4,2023-04,1
2023-04-21,PETROL PUMP #2110,720.45,Transport,petrol pump,4,4,2023-04,5
2023-04-21,SUBWAY #7580,668.1,Food & Dining,subway,4,4,2023-04,2
2023-04-21,INSURANCE PREMIUM #6377,2980.29,Bills & Utilities,insurance premium,4,4,2023-04,0
2023-04-21,INTERNET BILL #5371,880.07,Bills & Utilities,internet bill,4,4,2023-04,0
2023-04-21,INDIGO AIRLINES #4122,1442.07,Transport,indigo airlines,4,4,2023-04,5
2023-04-22,METRO CARD RECHARGE #7697,898.24,Transport,metro card recharge,4,5,2023-04,5
2023-04-22,GAMING PURCHASE #3923,1003.32,Entertainment,gaming purchase,4,5,2023-04,1
2023-04-22,RESTAURANT BILL #3230,1180.91,Food & Dining,restaurant bill,4,5,2023-04,2
2023-04-22,DOCTOR CONSULTATION #1370,2562.62,Health,doctor consultation,4,5,2023-04,3
2023-04-22,MAINTENANCE FEE #6931,2614.87,Bills & Utilities,maintenance fee,4,5,2023-04,0
2023-04-22,GAS CYLINDER #9788,4076.56,Bills & Utilities,gas cylinder,4,5,2023-04,0
2023-04-23,AUTO RICKSHAW #5106,1603.07,Transport,auto rickshaw,4,6,2023-04,5
2023-04-23,ELECTRICITY BILL #7035,1723.07,Bills & Utilities,electricity bill,4,6,2023-04,0
2023-04-23,PETROL PUMP #1517,1157.96,Transport,petrol pump,4,6,2023-04,5
2023-04-24,ZOMATO ORDER #3248,599.44,Food & Dining,zomato order,4,0,2023-04,2
2023-04-24,SPOTIFY PREMIUM #5713,118.24,Entertainment,spotify premium,4,0,2023-04,1
2023-04-24,YOGA CLASS #6140,1769.85,Health,yoga class,4,0,2023-04,3
2023-04-25,HOSPITAL BILL #2279,2760.01,Health,hospital bill,4,1,2023-04,3
2023-04-26,INSURANCE PREMIUM #7139,3528.13,Bills & Utilities,insurance premium,4,2,2023-04,0
2023-04-26,LAB TEST #8914,2769.15,Health,lab test,4,2,2023-04,3
2023-04-26,RENT PAYMENT #3793,1929.09,Bills & Utilities,rent payment,4,2,2023-04,0
2023-04-26,INDIGO AIRLINES #9115,1112.96,Transport,indigo airlines,4,2,2023-04,5
2023-04-26,INTERNET BILL #9425,1215.02,Bills & Utilities,internet bill,4,2,2023-04,0
2023-04-27,NETFLIX SUBSCRIPTION #2043,572.17,Entertainment,netflix subscription,4,3,2023-04,1
2023-04-27,GYM MEMBERSHIP #7793,2452.4,Health,gym membership,4,3,2023-04,3
2023-04-27,BUS PASS #3754,180.47,Transport,bus pass,4,3,2023-04,5
2023-04-27,BOOKMYSHOW #7367,955.44,Entertainment,bookmyshow,4,3,2023-04,1
2023-04-28,INSURANCE PREMIUM #9264,1986.74,Bills & Utilities,insurance premium,4,4,2023-04,0
2023-04-28,AMAZON ORDER #2208,2991.52,Shopping,amazon order,4,4,2023-04,4
2023-04-28,MOVIE TICKET #1188,1052.08,Entertainment,movie ticket,4,4,2023-04,1
2023-04-28,GAMING PURCHASE #2624,1210.13,Entertainment,gaming purchase,4,4,2023-04,1
2023-04-29,MYNTRA FASHION #5179,6231.97,Shopping,myntra fashion,4,5,2023-04,4
2023-04-29,AJIO ORDER #4082,6008.02,Shopping,ajio order,4,5,2023-04,4
2023-04-29,DOCTOR CONSULTATION #1323,239.88,Health,doctor consultation,4,5,2023-04,3
2023-04-30,DECATHLON SPORTS #7018,290.5,Shopping,decathlon sports,4,6,2023-04,4
2023-05-01,LAB TEST #9176,1601.46,Health,lab test,5,0,2023-05,3
2023-05-01,BOOKMYSHOW #6996,727.32,Entertainment,bookmyshow,5,0,2023-05,1
2023-05-01,NETFLIX SUBSCRIPTION #9311,246.68,Entertainment,netflix subscription,5,0,2023-05,1
2023-05-01,AMAZON ORDER #4470,7509.85,Shopping,amazon order,5,0,2023-05,4
2023-05-01,RESTAURANT BILL #2858,719.1,Food & Dining,restaurant bill,5,0,2023-05,2
2023-05-01,BIGBASKET ORDER #3787,1423.5,Food & Dining,bigbasket order,5,0,2023-05,2
2023-05-01,IKEA PURCHASE #6228,6227.74,Shopping,ikea purchase,5,0,2023-05,4
2023-05-01,MEESHO ORDER #9832,6836.06,Shopping,meesho order,5,0,2023-05,4
2023-05-02,LAB TEST #7051,2772.92,Health,lab test,5,1,2023-05,3
2023-05-02,PARKING FEE #3589,655.47,Transport,parking fee,5,1,2023-05,5
2023-05-02,INSURANCE PREMIUM #5582,4144.03,Bills & Utilities,insurance premium,5,1,2023-05,0
2023-05-02,RAPIDO BIKE #4062,339.99,Transport,rapido bike,5,1,2023-05,5
2023-05-02,DTH RECHARGE #1276,2008.56,Bills & Utilities,dth recharge,5,1,2023-05,0
2023-05-02,MYNTRA FASHION #5991,424.32,Shopping,myntra fashion,5,1,2023-05,4
2023-05-03,MOBILE RECHARGE #8591,1398.54,Bills & Utilities,mobile recharge,5,2,2023-05,0
2023-05-04,MCDONALD'S #3841,536.48,Food & Dining,mcdonalds,5,3,2023-05,2
2023-05-04,RELIANCE TRENDS #8115,3448.87,Shopping,reliance trends,5,3,2023-05,4
2023-05-05,AMAZON ORDER #5657,5514.24,Shopping,amazon order,5,4,2023-05,4
2023-05-05,GYM MEMBERSHIP #9085,1292.71,Health,gym membership,5,4,2023-05,3
2023-05-06,CAFE COFFEE DAY #5520,325.22,Food & Dining,cafe coffee day,5,5,2023-05,2
2023-05-06,KFC ORDER #8327,1210.74,Food & Dining,kfc order,5,5,2023-05,2
2023-05-07,YOGA CLASS #8803,2859.36,Health,yoga class,5,6,2023-05,3
2023-05-07,OLA RIDE #6245,638.52,Transport,ola ride,5,6,2023-05,5
2023-05-07,PHARMACY BILL #6060,1727.03,Health,pharmacy bill,5,6,2023-05,3
2023-05-07,INTERNET BILL #7203,4763.74,Bills & Utilities,internet bill,5,6,2023-05,0
2023-05-07,RELIANCE TRENDS #3686,5803.32,Shopping,reliance trends,5,6,2023-05,4
2023-05-07,RELIANCE TRENDS #8605,4139.99,Shopping,reliance trends,5,6,2023-05,4
2023-05-07,UBER TRIP #2646,305.83,Transport,uber trip,5,6,2023-05,5
2023-05-08,MOVIE TICKET #1573,217.54,Entertainment,movie ticket,5,0,2023-05,1
2023-05-08,KFC ORDER #9830,1084.94,Food & Dining,kfc order,5,0,2023-05,2
2023-05-09,SUBWAY #2133,1468.08,Food & Dining,subway,5,1,2023-05,2
2023-05-09,GROCERY STORE #2663,407.16,Food & Dining,grocery store,5,1,2023-05,2
2023-05-10,UBER TRIP #2767,1591.64,Transport,uber trip,5,2,2023-05,5
2023-05-10,RAPIDO BIKE #4471,1622.67,Transport,rapido bike,5,2,2023-05,5
2023-05-10,ZOMATO ORDER #9805,535.01,Food & Dining,zomato order,5,2,2023-05,2
2023-05-10,GAS CYLINDER #9115,4827.64,Bills & Utilities,gas cylinder,5,2,2023-05,0
2023-05-10,DISNEY PLUS #5247,332.92,Entertainment,disney plus,5,2,2023-05,1
2023-05-10,RENT PAYMENT #6237,3879.28,Bills & Utilities,rent payment,5,2,2023-05,0
2023-05-10,AMAZON ORDER #1893,4516.2,Shopping,amazon order,5,2,2023-05,4
2023-05-10,BUS PASS #3939,625.47,Transport,bus pass,5,2,2023-05,5
2023-05-11,SUBWAY #5921,265.48,Food & Dining,subway,5,3,2023-05,2
2023-05-11,METRO CARD RECHARGE #2914,647.14,Transport,metro card recharge,5,3,2023-05,5
2023-05-11,PRACTO APPOINTMENT #1367,806.64,Health,practo appointment,5,3,2023-05,3
2023-05-11,CAFE COFFEE DAY #9012,847.68,Food & Dining,cafe coffee day,5,3,2023-05,2
2023-05-11,PRACTO APPOINTMENT #3668,518.6,Health,practo appointment,5,3,2023-05,3
2023-05-12,EYE CLINIC #3875,289.55,Health,eye clinic,5,4,2023-05,3
2023-05-12,NETFLIX SUBSCRIPTION #7139,293.67,Entertainment,netflix subscription,5,4,2023-05,1
2023-05-12,EYE CLINIC #3845,2218.43,Health,eye clinic,5,4,2023-05,3
2023-05-13,DOMINOS PIZZA #5491,1060.22,Food & Dining,dominos pizza,5,5,2023-05,2
2023-05-13,EYE CLINIC #8423,1042.25,Health,eye clinic,5,5,2023-05,3
2023-05-13,MYNTRA FASHION #3981,6188.7,Shopping,myntra fashion,5,5,2023-05,4
2023-05-14,PETROL PUMP #9460,1435.72,Transport,petrol pump,5,6,2023-05,5
2023-05-14,SWIGGY DELIVERY #2018,666.09,Food & Dining,swiggy delivery,5,6,2023-05,2
2023-05-14,DOCTOR CONSULTATION #2941,518.85,Health,doctor consultation,5,6,2023-05,3
2023-05-14,EMI PAYMENT #1750,1289.14,Bills & Utilities,emi payment,5,6,2023-05,0
2023-05-14,HOSPITAL BILL #6658,2928.58,Health,hospital bill,5,6,2023-05,3
2023-05-14,CAFE COFFEE DAY #9221,680.01,Food & Dining,cafe coffee day,5,6,2023-05,2
2023-05-14,MCDONALD'S #2020,680.73,Food & Dining,mcdonalds,5,6,2023-05,2
2023-05-14,HOTSTAR PREMIUM #2965,220.03,Entertainment,hotstar premium,5,6,2023-05,1
2023-05-15,MOBILE RECHARGE #6395,2300.93,Bills & Utilities,mobile recharge,5,0,2023-05,0
2023-05-15,ELECTRICITY BILL #4742,1199.17,Bills & Utilities,electricity bill,5,0,2023-05,0
2023-05-15,MEDICINE ORDER #1845,690.32,Health,medicine order,5,0,2023-05,3
2023-05-15,DECATHLON SPORTS #1546,4720.68,Shopping,decathlon sports,5,0,2023-05,4
2023-05-15,BUS PASS #4910,553.26,Transport,bus pass,5,0,2023-05,5
2023-05-15,MEESHO ORDER #9978,3271.43,Shopping,meesho order,5,0,2023-05,4
2023-05-16,NETFLIX SUBSCRIPTION #6916,1407.43,Entertainment,netflix subscription,5,1,2023-05,1
2023-05-16,PETROL PUMP #5760,1382.62,Transport,petrol pump,5,1,2023-05,5
2023-05-16,NETFLIX SUBSCRIPTION #7662,1429.86,Entertainment,netflix subscription,5,1,2023-05,1
2023-05-16,GROCERY STORE #3078,1067.07,Food & Dining,grocery store,5,1,2023-05,2
2023-05-17,BOOKMYSHOW #7366,1048.74,Entertainment,bookmyshow,5,2,2023-05,1
2023-05-17,MYNTRA FASHION #7270,6232.99,Shopping,myntra fashion,5,2,2023-05,4
2023-05-17,BOOKMYSHOW #1260,1379.54,Entertainment,bookmyshow,5,2,2023-05,1
2023-05-17,GAMING PURCHASE #6233,731.54,Entertainment,gaming purchase,5,2,2023-05,1
2023-05-17,RENT PAYMENT #7154,493.22,Bills & Utilities,rent payment,5,2,2023-05,0
2023-05-18,MAINTENANCE FEE #4781,3179.02,Bills & Utilities,maintenance fee,5,3,2023-05,0
2023-05-18,ELECTRICITY BILL #7761,4842.15,Bills & Utilities,electricity bill,5,3,2023-05,0
2023-05-18,INSURANCE PREMIUM #9587,1755.39,Bills & Utilities,insurance premium,5,3,2023-05,0
2023-05-18,MOVIE TICKET #3689,787.56,Entertainment,movie ticket,5,3,2023-05,1
2023-05-18,IRCTC TICKET #5533,1685.02,Transport,irctc ticket,5,3,2023-05,5
2023-05-18,CAFE COFFEE DAY #2063,474.61,Food & Dining,cafe coffee day,5,3,2023-05,2
2023-05-19,APPLE MUSIC #4203,740.46,Entertainment,apple music,5,4,2023-05,1
2023-05-19,DECATHLON SPORTS #2902,958.1,Shopping,decathlon sports,5,4,2023-05,4
2023-05-19,KFC ORDER #2854,310.67,Food & Dining,kfc order,5,4,2023-05,2
2023-05-19,ELECTRICITY BILL #5703,2103.45,Bills & Utilities,electricity bill,5,4,2023-05,0
2023-05-19,PRACTO APPOINTMENT #5958,354.14,Health,practo appointment,5,4,2023-05,3
2023-05-20,ZOMATO ORDER #5105,216.29,Food & Dining,zomato order,5,5,2023-05,2
2023-05-20,DECATHLON SPORTS #6484,3558.81,Shopping,decathlon sports,5,5,2023-05,4
2023-05-20,AMAZON ORDER #1001,4281.87,Shopping,amazon order,5,5,2023-05,4
2023-05-20,INSURANCE PREMIUM #8878,452.5,Bills & Utilities,insurance premium,5,5,2023-05,0
2023-05-20,FLIPKART PURCHASE #8633,1060.47,Shopping,flipkart purchase,5,5,2023-05,4
2023-05-20,ELECTRICITY BILL #4309,880.86,Bills & Utilities,electricity bill,5,5,2023-05,0
2023-05-20,INDIGO AIRLINES #8155,1950.7,Transport,indigo airlines,5,5,2023-05,5
2023-05-21,RESTAURANT BILL #5938,1420.72,Food & Dining,restaurant bill,5,6,2023-05,2
2023-05-21,EMI PAYMENT #8284,1011.02,Bills & Utilities,emi payment,5,6,2023-05,0
2023-05-21,BUS PASS #8967,408.25,Transport,bus pass,5,6,2023-05,5
2023-05-21,INSURANCE PREMIUM #1659,321.99,Bills & Utilities,insurance premium,5,6,2023-05,0
2023-05-21,MYNTRA FASHION #2956,298.79,Shopping,myntra fashion,5,6,2023-05,4
2023-05-22,LAB TEST #9369,1226.54,Health,lab test,5,0,2023-05,3
2023-05-22,NYKAA COSMETICS #5496,1687.01,Shopping,nykaa cosmetics,5,0,2023-05,4
2023-05-22,AUTO RICKSHAW #7909,1580.82,Transport,auto rickshaw,5,0,2023-05,5
2023-05-22,ZOMATO ORDER #8542,565.7,Food & Dining,zomato order,5,0,2023-05,2
2023-05-23,DECATHLON SPORTS #2007,906.16,Shopping,decathlon sports,5,1,2023-05,4
2023-05-23,EYE CLINIC #8015,581.35,Health,eye clinic,5,1,2023-05,3
2023-05-23,MAINTENANCE FEE #1108,2559.0,Bills & Utilities,maintenance fee,5,1,2023-05,0
2023-05-23,FLIPKART PURCHASE #8847,7221.36,Shopping,flipkart purchase,5,1,2023-05,4
2023-05-24,FLIPKART PURCHASE #7502,7556.66,Shopping,flipkart purchase,5,2,2023-05,4
2023-05-24,GAMING PURCHASE #9856,563.75,Entertainment,gaming purchase,5,2,2023-05,1
2023-05-24,OLA RIDE #7620,1331.24,Transport,ola ride,5,2,2023-05,5
2023-05-24,NYKAA COSMETICS #5661,5401.99,Shopping,nykaa cosmetics,5,2,2023-05,4
2023-05-25,RELIANCE TRENDS #1182,4517.49,Shopping,reliance trends,5,3,2023-05,4
2023-05-25,EYE CLINIC #2705,2816.39,Health,eye clinic,5,3,2023-05,3
2023-05-25,NYKAA COSMETICS #3463,2800.22,Shopping,nykaa cosmetics,5,3,2023-05,4
2023-05-25,IKEA PURCHASE #8913,5059.73,Shopping,ikea purchase,5,3,2023-05,4
2023-05-26,PHARMACY BILL #4884,206.53,Health,pharmacy bill,5,4,2023-05,3
2023-05-26,ZOMATO ORDER #3420,900.58,Food & Dining,zomato order,5,4,2023-05,2
2023-05-27,GAS CYLINDER #4594,4168.78,Bills & Utilities,gas cylinder,5,5,2023-05,0
2023-05-27,MEDICINE ORDER #5512,684.94,Health,medicine order,5,5,2023-05,3
2023-05-27,NYKAA COSMETICS #5816,3990.22,Shopping,nykaa cosmetics,5,5,2023-05,4
2023-05-27,DENTAL CLINIC #6084,2349.05,Health,dental clinic,5,5,2023-05,3
2023-05-27,AMAZON PRIME #9153,1377.87,Entertainment,amazon prime,5,5,2023-05,1
2023-05-27,RELIANCE TRENDS #1100,1614.96,Shopping,reliance trends,5,5,2023-05,4
2023-05-28,KFC ORDER #8486,72.25,Food & Dining,kfc order,5,6,2023-05,2
2023-05-28,SWIGGY DELIVERY #9876,293.83,Food & Dining,swiggy delivery,5,6,2023-05,2
2023-05-28,BUS PASS #1256,1924.09,Transport,bus pass,5,6,2023-05,5
2023-05-28,PETROL PUMP #5927,1719.36,Transport,petrol pump,5,6,2023-05,5
2023-05-28,IRCTC TICKET #9941,611.11,Transport,irctc ticket,5,6,2023-05,5
2023-05-29,AMAZON ORDER #9481,4774.23,Shopping,amazon order,5,0,2023-05,4
2023-05-29,AJIO ORDER #3459,1464.57,Shopping,ajio order,5,0,2023-05,4
2023-05-29,KFC ORDER #2744,86.64,Food & Dining,kfc order,5,0,2023-05,2
2023-05-29,MYNTRA FASHION #1046,2362.74,Shopping,myntra fashion,5,0,2023-05,4
2023-05-30,GYM MEMBERSHIP #7853,623.07,Health,gym membership,5,1,2023-05,3
2023-05-30,DECATHLON SPORTS #1519,2775.94,Shopping,decathlon sports,5,1,2023-05,4
2023-05-30,BOOKMYSHOW #6098,916.72,Entertainment,bookmyshow,5,1,2023-05,1
2023-05-30,SPOTIFY PREMIUM #8310,322.07,Entertainment,spotify premium,5,1,2023-05,1
2023-06-01,SWIGGY DELIVERY #3699,450.12,Food & Dining,swiggy delivery,6,3,2023-06,2
2023-06-01,DISNEY PLUS #4401,167.54,Entertainment,disney plus,6,3,2023-06,1
2023-06-01,NETFLIX SUBSCRIPTION #7049,915.1,Entertainment,netflix subscription,6,3,2023-06,1
2023-06-01,MAINTENANCE FEE #2843,4244.61,Bills & Utilities,maintenance fee,6,3,2023-06,0
2023-06-01,PRACTO APPOINTMENT #9099,1258.99,Health,practo appointment,6,3,2023-06,3
2023-06-02,CAFE COFFEE DAY #8027,920.57,Food & Dining,cafe coffee day,6,4,2023-06,2
2023-06-02,HOSPITAL BILL #8761,1606.06,Health,hospital bill,6,4,2023-06,3
2023-06-02,NETFLIX SUBSCRIPTION #2832,204.42,Entertainment,netflix subscription,6,4,2023-06,1
2023-06-02,AMAZON ORDER #4173,1078.9,Shopping,amazon order,6,4,2023-06,4
2023-06-02,DENTAL CLINIC #3968,647.14,Health,dental clinic,6,4,2023-06,3
2023-06-02,MEDICINE ORDER #8371,2034.94,Health,medicine order,6,4,2023-06,3
2023-06-03,OLA RIDE #8729,747.03,Transport,ola ride,6,5,2023-06,5
2023-06-03,ZOMATO ORDER #5193,362.7,Food & Dining,zomato order,6,5,2023-06,2
2023-06-03,GROCERY STORE #9591,109.71,Food & Dining,grocery store,6,5,2023-06,2
2023-06-03,KFC ORDER #9281,343.13,Food & Dining,kfc order,6,5,2023-06,2
2023-06-04,MOVIE TICKET #7768,174.74,Entertainment,movie ticket,6,6,2023-06,1
2023-06-04,BUS PASS #9049,1534.44,Transport,bus pass,6,6,2023-06,5
